datetime,field,away,awayScore,home,homeScore
2019-05-15T18:00:00,Lit,Divas Achievas and Believas,,Smashing Pumpkins,
2019-05-15T19:00:00,Lit,The Greytest Hits,,Black Nambas,
2019-05-15T20:00:00,Lit,Oscar,,Brew Jays,
2019-05-15T17:50:00,UnLit,EverGreen,,Blu-Tang Clan,
2019-05-15T18:50:00,UnLit,Moneyball,,Los Lobos Locos,
2019-05-20T18:00:00,Lit,AmpedLeeCons,,Nguyener Nguyener Chicken Dinner,
2019-05-20T19:00:00,Lit,Why So Sriya-ous?,,Make Softball Great Again,
2019-05-20T20:00:00,Lit,You had one Jobe,,Big League Chu,
2019-05-20T17:50:00,UnLit,Charlie,,The Ashletics,
2019-05-20T18:50:00,UnLit,Natty Ice 3.0,,"You're My Boy, Blue!",
2019-05-22T18:00:00,Lit,"You're My Boy, Blue!",,EverGreen,
2019-05-22T19:00:00,Lit,Make Softball Great Again,,The Blue Bombers,
2019-05-22T20:00:00,Lit,Black Nambas,,Divas Achievas and Believas,
2019-05-22T17:50:00,UnLit,The Ashletics,,Why So Sriya-ous?,
2019-05-22T18:50:00,UnLit,Big League Chu,,Baltimaroon Obioles,
2019-05-29T18:00:00,Lit,Blu-Tang Clan,,The Greytest Hits,
2019-05-29T19:00:00,Lit,Nguyener Nguyener Chicken Dinner,,Oscar,
2019-05-29T20:00:00,Lit,Brew Jays,,Charlie,
2019-05-29T17:50:00,UnLit,Smashing Pumpkins,,You had one Jobe,
2019-05-29T18:50:00,UnLit,Los Lobos Locos,,AmpedLeeCons,
2019-06-03T18:00:00,Lit,Charlie,,The Blue Bombers,
2019-06-03T19:00:00,Lit,The Greytest Hits,,Big League Chu,
2019-06-03T20:00:00,Lit,AmpedLeeCons,,The Ashletics,
2019-06-03T18:00:00,UnLit,Natty Ice 3.0,,Black Nambas,
2019-06-03T19:00:00,UnLit,Los Lobos Locos,,Nguyener Nguyener Chicken Dinner,
2019-06-05T18:00:00,Lit,Moneyball,,Brew Jays,
2019-06-05T19:00:00,Lit,Divas Achievas and Believas,,Baltimaroon Obioles,
2019-06-05T20:00:00,Lit,EverGreen,,Smashing Pumpkins,
2019-06-05T18:00:00,UnLit,Oscar,,Make Softball Great Again,
2019-06-05T19:00:00,UnLit,"You're My Boy, Blue!",,Blu-Tang Clan,
2019-06-10T18:00:00,Lit,Big League Chu,,Divas Achievas and Believas,
2019-06-10T19:00:00,Lit,Nguyener Nguyener Chicken Dinner,,Moneyball,
2019-06-10T20:00:00,Lit,Black Nambas,,EverGreen,
2019-06-10T18:00:00,UnLit,The Blue Bombers,,Why So Sriya-ous?,
2019-06-10T19:00:00,UnLit,Smashing Pumpkins,,The Greytest Hits,
2019-06-12T18:00:00,Lit,The Ashletics,,Oscar,
2019-06-12T19:00:00,Lit,Blu-Tang Clan,,Natty Ice 3.0,
2019-06-12T20:00:00,Lit,Make Softball Great Again,,Charlie,
2019-06-12T18:00:00,UnLit,Baltimaroon Obioles,,You had one Jobe,
2019-06-12T19:00:00,UnLit,Brew Jays,,AmpedLeeCons,
2019-06-17T18:00:00,Lit,Oscar,,Why So Sriya-ous?,
2019-06-17T19:00:00,Lit,"You're My Boy, Blue!",,Smashing Pumpkins,
2019-06-17T20:00:00,Lit,Moneyball,,Make Softball Great Again,
2019-06-17T18:00:00,UnLit,Nguyener Nguyener Chicken Dinner,,Brew Jays,
2019-06-17T19:00:00,UnLit,Blu-Tang Clan,,Black Nambas,
2019-06-19T18:00:00,Lit,The Greytest Hits,,You had one Jobe,
2019-06-19T19:00:00,Lit,Los Lobos Locos,,The Ashletics,
2019-06-19T20:00:00,Lit,Natty Ice 3.0,,Big League Chu,
2019-06-19T18:00:00,UnLit,AmpedLeeCons,,The Blue Bombers,
2019-06-19T19:00:00,UnLit,EverGreen,,Baltimaroon Obioles,
2019-06-24T18:00:00,Lit,Smashing Pumpkins,,Natty Ice 3.0,
2019-06-24T19:00:00,Lit,Brew Jays,,Los Lobos Locos,
2019-06-24T20:00:00,Lit,You had one Jobe,,Divas Achievas and Believas,
2019-06-24T18:00:00,UnLit,Baltimaroon Obioles,,The Greytest Hits,
2019-06-24T19:00:00,UnLit,Make Softball Great Again,,AmpedLeeCons,
2019-06-26T18:00:00,Lit,Black Nambas,,"You're My Boy, Blue!",
2019-06-26T19:00:00,Lit,Why So Sriya-ous?,,Charlie,
2019-06-26T20:00:00,Lit,The Ashletics,,Moneyball,
2019-06-26T18:00:00,UnLit,Big League Chu,,EverGreen,
2019-06-26T19:00:00,UnLit,The Blue Bombers,,Oscar,
2019-07-08T18:00:00,Lit,AmpedLeeCons,,Charlie,
2019-07-08T19:00:00,Lit,Blu-Tang Clan,,Big League Chu,
2019-07-08T20:00:00,Lit,Los Lobos Locos,,The Blue Bombers,
2019-07-08T18:00:00,UnLit,Black Nambas,,Smashing Pumpkins,
2019-07-08T19:00:00,UnLit,Brew Jays,,The Ashletics,
2019-07-10T18:00:00,Lit,Nguyener Nguyener Chicken Dinner,,Make Softball Great Again,
2019-07-10T19:00:00,Lit,EverGreen,,Divas Achievas and Believas,
2019-07-10T20:00:00,Lit,"You're My Boy, Blue!",,Baltimaroon Obioles,
2019-07-10T18:00:00,UnLit,Natty Ice 3.0,,You had one Jobe,
2019-07-10T19:00:00,UnLit,Moneyball,,Why So Sriya-ous?,
2019-07-15T18:00:00,Lit,Baltimaroon Obioles,,Natty Ice 3.0,
2019-07-15T19:00:00,Lit,Charlie,,Oscar,
2019-07-15T20:00:00,Lit,Smashing Pumpkins,,Blu-Tang Clan,
2019-07-15T18:00:00,UnLit,Make Softball Great Again,,Los Lobos Locos,
2019-07-15T19:00:00,UnLit,You had one Jobe,,EverGreen,
2019-07-17T18:00:00,Lit,The Blue Bombers,,Moneyball,
2019-07-17T19:00:00,Lit,Big League Chu,,"You're My Boy, Blue!",
2019-07-17T20:00:00,Lit,Why So Sriya-ous?,,AmpedLeeCons,
2019-07-17T18:00:00,UnLit,Divas Achievas and Believas,,The Greytest Hits,
2019-07-17T19:00:00,UnLit,The Ashletics,,Nguyener Nguyener Chicken Dinner,
2019-07-22T18:00:00,Lit,The Ashletics,,Make Softball Great Again,
2019-07-22T19:00:00,Lit,Black Nambas,,Baltimaroon Obioles,
2019-07-22T20:00:00,Lit,Nguyener Nguyener Chicken Dinner,,Why So Sriya-ous?,
2019-07-22T18:00:00,UnLit,"You're My Boy, Blue!",,Divas Achievas and Believas,
2019-07-22T19:00:00,UnLit,Moneyball,,Oscar,
2019-07-24T18:00:00,Lit,Blu-Tang Clan,,You had one Jobe,
2019-07-24T19:00:00,Lit,Brew Jays,,The Blue Bombers,
2019-07-24T20:00:00,Lit,Natty Ice 3.0,,The Greytest Hits,
2019-07-24T18:00:00,UnLit,Los Lobos Locos,,Charlie,
2019-07-24T19:00:00,UnLit,Smashing Pumpkins,,Big League Chu,
2019-07-29T18:00:00,Lit,The Greytest Hits,,EverGreen,
2019-07-29T19:00:00,Lit,Charlie,,Moneyball,
2019-07-29T20:00:00,Lit,Baltimaroon Obioles,,Blu-Tang Clan,
2019-07-29T18:00:00,UnLit,Oscar,,AmpedLeeCons,
2019-07-29T19:00:00,UnLit,You had one Jobe,,"You're My Boy, Blue!",
2019-07-30T18:00:00,Lit,Why So Sriya-ous?,,Los Lobos Locos,
2019-07-30T19:00:00,Lit,Divas Achievas and Believas,,Natty Ice 3.0,
2019-07-30T20:00:00,Lit,The Blue Bombers,,Nguyener Nguyener Chicken Dinner,
2019-07-30T18:00:00,UnLit,Big League Chu,,Black Nambas,
2019-07-30T19:00:00,UnLit,Make Softball Great Again,,Brew Jays,
2019-08-05T18:00:00,Lit,Why So Sriya-ous?,,Brew Jays,
2019-08-05T19:00:00,Lit,EverGreen,,Natty Ice 3.0,
2019-08-05T20:00:00,Lit,Oscar,,Los Lobos Locos,
2019-08-05T18:00:00,UnLit,Divas Achievas and Believas,,Blu-Tang Clan,
2019-08-05T19:00:00,UnLit,The Blue Bombers,,The Ashletics,
2019-08-07T18:00:00,Lit,AmpedLeeCons,,Moneyball,
2019-08-07T19:00:00,Lit,You had one Jobe,,Black Nambas,
2019-08-07T20:00:00,Lit,The Greytest Hits,,"You're My Boy, Blue!",
2019-08-07T18:00:00,UnLit,,Charlie,,Nguyener Nguyener Chicken Dinner,
2019-08-07T19:00:00,UnLit,,Baltimaroon Obioles,,Smashing Pumpkins,
,,,,,